id_venda,data,cliente,produto,categoria,quantidade,preco_unitario,regiao,canal_venda,desconto
45,2024-06-14,Paula Almeida,Tenis Runner,Moda,2,299.9,Sudeste,Loja Fisica,0.05
46,2025-09-05,Joao Rodrigues,Notebook Pro 14,Eletronicos,1,4200.0,Sudeste,Online,0.0
47,2024-04-24,Julia Santos,Notebook Pro 14,Eletronicos,1,4200.0,Sul,WhatsApp,0.15
48,2024-02-29,Gabriela Ferreira,Luminaria LED,Casa,1,71.3,Sul,Online,0.2
49,2024-03-28,Yasmin Rodrigues,Teclado Mecânico,Eletronicos,3,249.9,Centro-Oeste,Online,0.15
50,2025-06-29,Diego Costa,Teclado Mecanico,Eletronicos,1,249.9,Sudeste,WhatsApp,0.1
51,2025-07-16,Eduarda Santos,Tablet Lite,Eletronicos,1,1499.9,Sudeste,WhatsApp,0.0
52,2025-09-13,Larissa Oliveira,Webcam HD,Eletronicos,3,179.9,Sudeste,Loja Fisica,0.1
53,2025-12-07,Felipe Barbosa,SSD 1TB,Eletronicos,1,459.9,Sul,Marketplace,0.15
54,2025-02-12,Vanessa Gomes,Mochila Executiva,Acessorios,1,159.9,Sudeste,Marketplace,0.05
55,2025-03-24,Otavio Rodrigues,Tenis Runner,Moda,2,299.9,Sul,Online,0.0
56,2024-09-10,Gabriela Souza,Monitor 24,Eletronicos,1,799.9,Norte,Online,0.05
57,2024-01-22,Rafael Almeida,Camiseta Dry Fit,Moda,1,49.9,Norte,Marketplace,0.0
58,2025-08-25,Gabriela Silva,Luminaria LED,Casa,1,69.9,Sudeste,Online,0.05
59,2025-12-25,Thiago Silva,Teclado Mecanico,Eletronicos,1,249.9,Sudeste,Loja Fisica,-0.1
60,2024-03-10,Ana Lima,Luminaria LED,Casa,5,69.9,Sudeste,Online,0.1
61,2025-06-10,Gabriela Santos,Teclado Mecanico,Eletronicos,1,249.9,Norte,Online,0.3
62,2024-08-07,Paula Costa,Tablet Lite,Eletronicos,2,1499.9,Sudeste,Online,0.0
63,2025-08-13,Natalia Oliveira,Planner 2025,Cursos,4,39.9,Sudeste,Online,0.2
64,2025-02-20,Felipe Souza,Tablet Lite,Eletronicos,1,1499.9,Sudeste,Online,
65,2025-11-05,Larissa Lima,Monitor 24,Eletronicos,2,775.9,Norte,Online,0.35
66,2025-02-24,Marcos Barbosa,Curso SQL Básico,Cursos,3,129.9,Sudeste,Online,1.2
67,2025-11-20,Thiago Gomes,Mouse Sem Fio,Eletronicos,1,89.9,Sudeste,Online,0.05
68,2024-03-03,Kaique Barbosa,Monitor 24,Eletronicos,1,799.9,Sudeste,Loja Fisica,0.05
69,2024-04-21,Gabriela Oliveira,Camiseta Dry Fit,Moda,1,49.9,Norte,Loja Fisica,0.0
70,2025-07-03,Marcos Costa,Mesa Compacta,Moveis,4,649.9,Sudeste,Online,0.05
71,2024-07-06,Henrique Rodrigues,Curso SQL Basico,Cursos,1,129.9,Sul,Online,0.2
72,2024-03-18,Marcos Almeida,Luminaria LED,Casa,1,69.9,Norte,Online,0.0
73,2024-02-21,Thiago Almeida,Monitor 24,Eletronicos,2,775.9,Norte,Online,0.15
74,2024-04-05,Gabriela Costa,Notebook Pro 14,Eletronicos,2,4200.0,Centro-Oeste,Online,0.1
75,2025-05-12,Natalia Oliveira,Curso SQL Basico,Cursos,3,129.9,Sudeste,Marketplace,0.0
76,2024-03-01,Eduarda Pereira,Livro Python Pratico,Livros,2,79.9,Sul,WhatsApp,0.0
77,2025-02-03,Henrique Rodrigues,Notebook Pro 14,Eletronicos,2,4200.0,Centro-Oeste,WhatsApp,0.15
78,2025-03-09,William Barbosa,Mochila Executiva,Acessorios,2,159.9,Sudeste,Online,0.15
79,2025-11-08,William Rodrigues,SSD 1TB,Eletronicos,2,446.1,Centro-Oeste,Marketplace,0.0
80,2024-07-13,Isabela Oliveira,Headset Gamer,Eletronicos,3,203.9,Nordeste,Online,0.2
81,2025-08-16,Yasmin Almeida,Mouse Sem Fio,Eletronicos,4,89.9, Sudeste ,Online,0.0
82,2024-11-17,Ana Silva,Mouse Sem Fio,Eletronicos,5,87.2,Sudeste,Online,0.05
83,2025-05-03,Otavio Almeida,Planner 2025,Papelaria,2,39.9,Sul,Online,0.0
84,2024-02-28,Otavio Souza,Cadeira office,Moveis,2,899.9,Sudeste,Online,0.0
85,2024-03-11,Sabrina Souza,Cadeira Office,Moveis,1,899.9,Sul,Loja Fisica,-0.1
86,2025-02-17,Carla Ferreira,Luminaria LED,Casa,5,69.9,Sudeste,Online,0.1
87,2025-08-15,Sabrina Silva,Luminaria LED,Casa,5,69.9,Sudeste,Online,0.0
88,2024-03-24,Larissa Gomes,Caneca Termica,Casa,2,82.35,Sul,Online,0.05
89,2025-08-01,Otavio Lima,Planner 2025,Papelaria,1,39.9,Nordeste,Online,0.05
90,2024-07-28,Vanessa Barbosa,Garrafa Termica,Casa,8,59.9,Sudeste,Online,0.15
91,2024-09-01,Henrique Pereira,Camiseta Dry Fit,Moda,1,49.9,Sul,Online,0.15
92,2025-11-18,Thiago Santos,Headset Gamer,Eletronicos,5,199.9,Norte,Loja Fisica,0.2
93,11-19-2024,Bruno Silva,Smartphone X,Eletronicos,2,2899.9,Sudeste,Online,0.05
94,2025-09-28,Rafael Souza,Smartphone X,Eletronicos,3,2899.9,Norte,Online,0.2
95,2025-07-04,Felipe Almeida,,Eletronicos,1,249.9,Sudeste,Online,0.0
96,2024-05-15,Julia Souza,Garrafa Termica,Casa,3,59.9,Norte,WhatsApp,0.2
97,2025-01-13,Isabela Costa,Luminaria LED,Casa,1,69.9,Centro-Oeste,Marketplace,0.1
98,2025-07-10,William Santos,Smartphone X,Eletronicos,3,2899.9,Sul,WhatsApp,0.1
99,2025-10-31,Otavio Silva,Caneca Termica,Casa,6,84.9,Sul,Online,0.0
100,2024-11-02,Vanessa Souza,SSD 1TB,Eletronicos,2,459.9,Sul,Online,0.05
101,2024-09-27,Carla Souza,Headset Gamer,Eletronicos,4,199.9,Sul,Marketplace,0.05
102,2024-06-08,Henrique Santos,SSD 1TB,Eletrônicos,1,469.1,Norte,Marketplace,0.1
103,2024-08-03,William Lima,Caneca Termica,Casa,3,84.9,Sudeste,WhatsApp,0.15
104,2025-12-04,Thiago Santos,Mesa Compacta,Moveis,1,649.9,Nordeste,WhatsApp,0.05
105,2025-05-15,Henrique Silva,Webcam HD,Eletronicos,2,179.9,Sudeste,Online,0.0
106,2025-10-11,Larissa Santos,Teclado Mecânico,Eletronicos,1,249.9,Sudeste,Loja Fisica,0.15
107,2024-01-04,Joao Costa,Mouse Sem Fio,Acessorios,5,89.9,Sudeste,Online,0.0
108,2024-06-14,Yasmin Rodrigues,Garrafa Termica,Casa,4,59.9,Nordeste,Online,0.0
109,2025-12-23,Larissa Almeida,SSD 1TB,Eletronicos,2,459.9,Sudeste,Online,0.15
110,2024-04-24,Bruno Barbosa,Notebook Pro 14,Eletronicos,1,4200.0,Sudeste,Online,0.05
111,2025-07-12,Ana Lima,Headset Gamer,Eletronicos,4,199.9,Nordeste,WhatsApp,0.05
112,2025-07-19,Diego Pereira,Planner 2025,Papelaria,8,39.9,Sudeste,Online,0.05
113,2024-02-12,Isabela Lima,Headset Gamer,Eletronicos,1,199.9,Nordeste,Online,0.0
114,2025-01-01,Felipe Gomes,Mouse Sem Fio,Eletronicos,1,89.9,Centro-Oeste,Marketplace,0.05
115,2025-11-13,Carla Lima,Luminaria LED,Casa,1,69.9, Nordeste ,Online,0.0
116,2025-02-20,Sabrina Barbosa,SSD 1TB,Eletronicos,1,459.9,Nordeste,Online,0.05
117,2024-08-30,Eduarda Costa,Headset Gamer,Eletronicos,1,199.9,Sudeste,Loja Fisica,0.0
118,2024-01-26,Eduarda Barbosa,Curso SQL Basico,Cursos,2,126.0,Nordeste,Marketplace,0.15
119,2025-02-25,Vanessa Barbosa,Camiseta Dry Fit,Moda,5,49.9,Sudeste,Online,0.0
120,2024-09-30,Eduarda Barbosa,Luminaria LED,Casa,1,69.9,Sudeste,Online,0.05
121,2025-01-26,Ana Rodrigues,Monitor 24,Eletronicos,1,799.9,Centro-Oeste,Loja Fisica,0.15
122,2024-07-23,Marcos Lima,Luminaria LED,Casa,1,69.9,Nordeste,Online,0.05
123,2024-08-21,Gabriela Silva,Mochila Executiva,Acessorios,1,159.9,Sudeste,Online,0.0
124,2025-02-12,Joao Santos,Mesa Compacta,Móveis,1,649.9,Nordeste,Marketplace,0.05
125,2024-10-12,Julia Gomes,Teclado Mecanico,Eletronicos,2,249.9,Sudeste,Online,0.05
126,2025-02-13,Vanessa Almeida,Webcam HD,Eletronicos,2,179.9,Sudeste,Online,0.0
127,2024-01-29,Carla Santos,Camiseta Dry Fit,Moda,3,49.9,Sudeste,WhatsApp,0.05
128,2025-08-17,Henrique Silva,Cadeira Office,Móveis,1,899.9,Nordeste,Online,0.0
129,2025-09-02,Larissa Lima,Monitor 24,Eletronicos,1,799.9,Nordeste,Marketplace,0.0
130,2025-03-22,Sabrina Almeida,Camiseta Dry Fit,Moda,8,49.9,Nordeste,Online,0.2
131,2025-01-29,Rafael Oliveira,Monitor 24,Eletronicos,2,799.9,Centro-Oeste,Online,0.1
132,2024-02-15,William Pereira,Garrafa Termica,Casa,3,59.9,Centro-Oeste,Marketplace,0.0
133,2025-06-16,Paula Gomes,Notebook PRO 14,Eletronicos,1,4200.0,Sudeste,Online,0.0
134,2025-01-07,Larissa Souza,Mesa Compacta,Moveis,1,649.9,Sudeste,Online,0.35
135,2025-09-30,Joao Gomes,Camiseta Dry Fit,Moda,2,49.9,Nordeste,Online,0.2
136,2024-11-03,Otavio Santos,Monitor 24,Eletronicos,2,799.9,Centro-Oeste,Loja Fisica,0.1
137,2024-11-30,Kaique Barbosa,Curso SQL Basico,Livros,1,129.9,Sudeste,Online,0.15
138,2025-07-21,Diego Oliveira,Mochila Executiva,Acessorios,4,159.9,Nordeste,Loja Fisica,0.2
139,2025-11-11,Kaique Gomes,Curso SQL Basico,Cursos,1,129.9,Sudeste,Loja Física,0.15
140,2025-09-22,Rafael Santos,Cadeira Office,Moveis,2,899.9,Nordeste,Online,0.0
141,2025-07-15,Lucas Santos,Livro Python Pratico,Livros,2,79.9,Sudeste,,0.15
142,2024-08-03,Larissa Ferreira,Mochila Executiva,Acessorios,2,159.9,Sudeste,Online,0.05
143,2025-11-01,Joao Rodrigues,Caneca Termica,Casa,3,84.9,Nordeste,Marketplace,0.0
144,2025-03-28,Vanessa Oliveira,Smartphone X,Eletronicos,3,2899.9,Sudeste,Online,0.2
145,2025-04-29,Yasmin Costa,Webcam HD,Eletronicos,1,179.9,Nordeste,Marketplace,0.05
146,2024-10-17,Otavio Gomes,Teclado Mecanico,Eletronicos,3,249.9,Sudeste,Online,0.0
147,2024-12-09,Bruno Oliveira,Caneca Termica,Casa,1,84.9,Sudeste,Marketplace,0.15
148,2024-08-18,Felipe Costa,Mochila Executiva,Acessorios,2,159.9,Nordeste,Marketplace,0.0
149,2024-02-17,Gabriela Rodrigues,Notebook Pro 14,Eletronicos,2,4200.0,Nordeste,Online,0.1
150,2024-03-15,Marcos Pereira,Caneca Térmica,Casa,4,84.9,Sudeste,Online,0.0
151,18/07/2024,William Barbosa,Planner 2025,Papelaria,3,39.9,Sudeste,Online,0.2
152,2025-05-21,Kaique Oliveira,Livro Python Pratico,Livros,2,79.9,Sudeste,Loja Fisica,0.0
153,2025-11-02,William Silva,Headset Gamer,Eletronicos,4,199.9,Sudeste,Loja Fisica,0.15
154,2025-03-11,Gabriela Costa,Monitor 24,Eletronicos,1,799.9,Sudeste,Loja Fisica,0.0
155,2025-04-20,Ana Almeida,Webcam HD,Eletronicos,4,183.5,Sul,Online,0.0
156,2024-05-04,Marcos Costa,Luminaria LED,Casa,2,69.9,Nordeste,WhatsApp,0.15
157,2025-11-14,Otavio Almeida,Smartphone X,Eletronicos,2,2899.9,Sudeste,Online,0.0
158,2024-11-20,Marcos Ferreira,Caneca Termica,Casa,2,84.9,Sudeste,Loja Fisica,0.15
159,2025-03-12,Paula Rodrigues,Webcam HD,Eletronicos,1,179.9,,Online,0.0
160,2025-05-01,Marcos Santos,Cadeira Office,Moveis,1,899.9,Nordeste,Loja Fisica,0.0
161,2025-10-14,Henrique Almeida,Luminaria LED,Casa,1,69.9,Sudeste,Loja Fisica,0.0
162,2025-10-03,Gabriela Santos,Tablet Lite,Eletronicos,1,1499.9,Sul,Online,0.0
163,2024-03-20,William Santos,Smartphone X,Eletrônicos,5,2899.9,Sudeste,Loja Fisica,0.0
164,2024-10-05,Joao Lima,Luminaria LED,Casa,1,67.8,Sul,Online,0.0
165,2024-03-23,Diego Costa,SSD 1TB,Eletronicos,1,459.9,Sudeste,Online,0.1
166,2025-01-27,William Costa,Luminaria LED,Casa,1,69.9,Sudeste,Online,0.05
167,2024-03-06,Larissa Pereira,Mesa Compacta,Moveis,1,649.9,Sul,WhatsApp,0.0
168,2025-07-09,Marcos Pereira,Camiseta Dry Fit,Moda,2,49.9,Norte,Online,0.1
169,2024-07-30,Larissa Pereira,Mouse Sem Fio,Eletronicos,1,89.9,Nordeste,Loja Fisica,0.0
170,2025-12-13,Lucas Ferreira,Planner 2025,Papelaria,1,39.9,Sudeste,Online,0.0
171,2025-05-03,Lucas Lima,Livro Python Pratico,Livros,2,79.9,Sul,Marketplace,0.0
172,2025-02-03,,Mochila Executiva,Acessorios,1,159.9,Centro-Oeste,Marketplace,0.0
173,2025-09-09,Gabriela Rodrigues,SSD 1TB,Eletronicos,1,459.9,Norte,Online,0.05
174,2024-10-06,Larissa Rodrigues,Luminaria LED,Casa,3,69.9,Sul,Online,0.0
175,2025-02-02,Joao Gomes,Notebook PRO 14,Eletronicos,2,4200.0,Centro-Oeste,Loja Fisica,0.0
176,2024-06-18,MARCOS COSTA,Livro Python Pratico,Livros,1,79.9,Centro-Oeste,WhatsApp,-0.1
177,2025-06-30,Lucas Pereira,Caneca Termica,Casa,3,82.35,Sul,Marketplace,0.0
178,2025-07-31,Vanessa Silva,Planner 2025,Papelaria,3,39.9,Sudeste,Online,0.0
179,2025-10-20,Larissa Costa,Teclado Mecanico,Eletronicos,5,242.4,Sudeste,Online,0.0
180,2024-07-05,Ana Santos,Smartphone X,Eletronicos,3,2899.9,Nordeste,Loja Fisica,0.0
181,2024-12-01,Felipe Rodrigues,Livro Python Pratico,Livros,2,79.9,Sul,Online,0.0
182,2024-12-11,Kaique Santos,Camiseta Dry Fit,Moda,5,49.9,Sudeste,Loja Fisica,0.1
183,2024-09-15,Bruno Rodrigues,Curso SQL Basico,Cursos,3,126.0,Sudeste,Online,0.05
184,2025-07-06,Ana Lima,Notebook Pro 14,Eletronicos,1,4200.0,Sudeste,Online,0.05
185,2025-10-27,Bruno Gomes,Luminaria LED,Casa,1,69.9,Centro-Oeste,Online,0.1
186,2024-02-01,Gabriela Oliveira,Mouse Sem Fio,Eletronicos,3,89.9,Sudeste,WhatsApp,0.1
187,2025-09-28,Diego Oliveira,Notebook Pro 14,Eletronicos,1,4200.0,Centro-Oeste,Loja Fisica,0.0
188,2025-04-29,Vanessa Souza,Headset Gamer,Eletronicos,2,193.9,Centro-Oeste,Marketplace,0.0
189,2024-08-11,Marcos Barbosa,Planner 2025,Papelaria,3,39.9,Sudeste,Online,0.0
190,12/01/2025,Eduarda Ferreira,Garrafa Termica,Casa,4,59.9,Centro-Oeste,Loja Fisica,0.0
191,2024-04-27,Eduarda Santos,Caneca Termica,Casa,1,84.9,Sul,Online,0.0
192,2025-08-15,Lucas Santos,,Eletronicos,3,799.9,Sudeste,Marketplace,0.1
193,2025-11-24,Kaique Pereira,Planner 2025,Papelaria,1,39.9,Sudeste,Online,0.2
194,2024-03-18,Rafael Barbosa,Mesa Compacta,Moveis,1,649.9,Sudeste,WhatsApp,0.0
195,2024/04/14,William Santos,Luminaria LED,Casa,3,69.9,Norte,Loja Fisica,0.0
196,2024-05-03,Rafael Silva,Caneca Térmica,Casa,6,84.9,Sudeste,Marketplace,0.15
197,2025-06-29,Larissa Gomes,Tenis Runner,Moda,2,299.9,Norte,Loja Fisica,0.0
198,2024-03-11,Otavio Gomes,Tenis Runner,Moda,1,290.9,Sudeste,Online,0.1
199,2024-01-13,Larissa Rodrigues,Camiseta Dry Fit,Moda,3,49.9,Sudeste,Online,0.05
200,2025-03-19,Julia Gomes,Monitor 24,Eletronicos,2,775.9,Nordeste,Online,0.15
201,2025-12-25,Diego Pereira,Smartphone X,Eletronicos,3,2957.9,Sudeste,WhatsApp,0.1
202,2025-06-18,Thiago Santos,Cadeira Office,Moveis,1,899.9,Sudeste,Online,0.05
203,2025-07-05,Natalia Rodrigues,Caneca Térmica,Casa,8,84.9,Sudeste,Online,0.0
204,2025-08-29,Henrique Lima,Curso SQL Basico,Cursos,1,129.9,Nordeste,Online,0.0
205,2024-03-29,Henrique Rodrigues,Luminaria LED,Casa,1,69.9,Norte,Online,0.2
206,2025-04-20,Rafael Ferreira,Luminaria LED,Casa,1,69.9,Sudeste,Online,0.2
207,2024-12-10,Lucas Rodrigues,Livro Python Pratico,Livros,1,79.9,Sudeste,Marketplace,0.2
208,2024-07-05,Natalia Oliveira,Camiseta Dry Fit,Moda,1,49.9,Sul,Online,0.2
209,2024-09-21,Joao Santos,Tenis Runner,Moda,2,299.9,Sudeste,Online,0.0
210,2025-12-19,Henrique Almeida,Caneca Termica,Casa,4,849.0,Sudeste,Online,0.2
211,2025-06-13,Felipe Souza,Notebook Pro 14,Eletronicos,4,4200.0,Sul,Online,0.0
212,2025-02-20,Natalia Almeida,Luminaria LED,Casa,2,69.9,Nordeste,Marketplace,0.0
213,2025-12-08,Natalia Gomes,Luminaria LED,Casa,1,69.9,Sudeste,Loja Fisica,0.0
214,2025-04-03,Lucas Souza,Tablet Lite,Eletronicos,1,1499.9,Nordeste,Marketplace,0.2
215,2024-08-14,Kaique Barbosa,Mochila Executiva,Acessorios,2,159.9,Sudeste,Loja Fisica,0.0
216,2024-11-09,Vanessa Ferreira,Luminaria LED,Casa,1,69.9,Centro-Oeste,Loja Fisica,0.05
217,2025-04-29,Paula Almeida,Tenis Runner,Moda,1,299.9,Sudeste,Online,0.15
218,2025-03-11,Yasmin Almeida,Tenis Runner,Moda,1,299.9,Sudeste,Marketplace,0.0
219,2024-12-26,William Rodrigues,Camiseta Dry Fit,Moda,2,49.9,Sul,Marketplace,0.1
220,2024-11-09,Henrique Oliveira,Garrafa Termica,Casa,4,59.9,Sul,Loja Fisica,0.1
221,2024-07-16,Joao Souza,Monitor 24,Eletronicos,2,775.9,Nordeste,Marketplace,0.15
222,2025-12-07,Eduarda Oliveira,SSD 1TB,Eletronicos,2,459.9,Nordeste,Online,0.1
223,2025-05-10,Henrique Barbosa,Mesa Compacta,Moveis,2,649.9,Sul,Loja Fisica,0.0
224,2025-06-21,Sabrina Santos,Planner 2025,Papelaria,8,39.9,Sudeste,Online,0.05
225,2024-07-17,Isabela Oliveira,Monitor 24,Eletronicos,2,815.9,Nordeste,Marketplace,0.05
226,2024-07-02,Isabela Silva,Tenis Runner,Moda,1,299.9,Sudeste,WhatsApp,0.0
227,2024-05-09,Henrique Silva,SSD 1TB,Eletronicos,2,446.1,Norte,Online,0.1
228,2025-07-20,Isabela Barbosa,Mouse Sem Fio,Eletronicos,2,91.7,Sudeste,Online,0.15
229,2025-10-15,Natalia Souza,Headset Gamer,Eletrônicos,4,193.9,Sudeste,Online,
230,2025-08-10,Isabela Rodrigues,Notebook PRO 14,Eletronicos,1,4200.0,Centro-Oeste,Loja Fisica,0.1
231,2025-03-27,Joao Costa,Tablet Lite,Eletronicos,1,1499.9,Centro-Oeste,WhatsApp,0.0
232,2024-09-15,Natalia Souza,Mouse Sem Fio,Eletronicos,5,89.9,Sudeste,Online,0.0
233,2025-02-14,Natalia Souza,Teclado Mecanico,Eletronicos,2,249.9,Centro-Oeste,WhatsApp,0.0
234,2025-10-06,Vanessa Silva,Planner 2025,Papelaria,2,40.7,Sudeste,Online,0.0
235,2024-06-01,Rafael Santos,Headset Gamer,Eletronicos,1,193.9,Sul,Online,0.0
236,2024-09-11,Carla Almeida,Teclado Mecânico,Eletronicos,2,254.9,Sudeste,Marketplace,0.05
237,2025-09-12,Sabrina Ferreira,Curso SQL Basico,Cursos,1,129.9,Sul,Marketplace,0.1
238,2025-06-19,Kaique Rodrigues,Luminaria LED,Casa,2,69.9,Sudeste,Online,0.0
239,2024-10-31,Rafael Pereira,Smartphone X,Eletronicos,2,2899.9,Sudeste,Loja Fisica,0.0
240,2025-08-05,Sabrina Silva,Mochila Executiva,Acessorios,2,155.1,Sudeste,Online,0.05
241,2024-04-11,Felipe Gomes,Caneca Termica,Casa,2,82.35,Sudeste,Online,0.05
242,2024-09-27,Vanessa Souza,Mesa Compacta,Moveis,1,649.9,Sudeste,Online,0.05
243,2024-09-02,Eduarda Almeida,Cadeira Office,Moveis,2,899.9,Sul,Marketplace,0.0
244,2024-06-09,Lucas Pereira,Teclado Mecanico,Eletronicos,1,249.9,Nordeste,WhatsApp,0.0
245,2025-12-06,Sabrina Rodrigues,Smartphone X,Eletronicos,2,2899.9,Sudeste,Loja Fisica,0.0
246,2024-02-03,Gabriela Santos,Mochila Executiva,Acessorios,1,155.1,Nordeste,Online,0.0
247,2025-12-20,Marcos Souza,Mochila Executiva,Acessorios,1,159.9,Nordeste,Loja Fisica,0.1
248,2024-09-27,Thiago Ferreira,Luminaria LED,Casa,1,69.9,Nordeste,Online,0.05
249,2025-03-11,Carla Almeida,Mesa Compacta,Moveis,1,649.9,Sul,Online,0.05
250,2025-10-25,Diego Santos,Luminaria LED,Casa,3,69.9,Sudeste,Marketplace,0.0
251,2024-03-14,Ana Costa,Headset Gamer,Eletronicos,1,199.9,Sul,Loja Fisica,0.1
252,2025-09-01,Yasmin Ferreira,Mochila Executiva,Acessorios,2,155.1,Sudeste,Loja Fisica,0.0
253,2025-03-25,Carla Rodrigues,Mochila Executiva,Acessorios,1,163.1,Nordeste,Marketplace,0.0
254,2025-12-17,Kaique Santos,Mochila Executiva,Acessorios,1,159.9,Nordeste,Marketplace,0.1
255,2025-07-06,Natalia Rodrigues,Webcam HD,Eletronicos,1,183.5,Sudeste,Online,0.2
256,2025-09-04,,Teclado Mecanico,Eletronicos,2,242.4,Nordeste,Loja Fisica,0.0
257,2025-09-10,Henrique Silva,Camiseta Dry Fit,Moda,3,49.9,Sul,Loja Fisica,0.1
258,2024-08-22,Vanessa Ferreira,Teclado Mecanico,Eletronicos,1,249.9,Sudeste,WhatsApp,0.0
259,2024-01-22,Vanessa Santos,Planner 2025,Papelaria,2,39.9,Sudeste,Loja Fisica,0.15
260,2024-02-11,Eduarda Rodrigues,Planner 2025,Papelaria,2,39.9,Sudeste,Marketplace,0.0
261,2025-10-29,Marcos Santos,Webcam HD,Eletronicos,2,179.9,Sudeste,Online,0.1
262,2025-08-22,Larissa Gomes,Cadeira Office,Móveis,1,899.9,Nordeste,WhatsApp,0.0
